,Video,Thr,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
59,7.0,0.6,489.0,0.0,0.0,5.0,0.9898785425101214,1.0,1.0,0.9898785425101214
60,7.0,0.7,364.0,0.0,0.0,2.0,0.994535519125683,1.0,1.0,0.994535519125683
61,7.0,0.8,250.0,0.0,0.0,1.0,0.9960159362549801,1.0,1.0,0.9960159362549801
62,7.0,0.9,34.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
63,8.0,0.1,134.0,0.0,0.0,12.0,0.9178082191780822,1.0,1.0,0.9178082191780822
64,8.0,0.2,63.0,0.0,0.0,6.0,0.9130434782608695,1.0,1.0,0.9130434782608695
65,8.0,0.3,33.0,0.0,0.0,5.0,0.868421052631579,1.0,1.0,0.868421052631579
66,8.0,0.4,20.0,0.0,0.0,4.0,0.8333333333333334,1.0,1.0,0.8333333333333334
67,8.0,0.5,15.0,0.0,0.0,2.0,0.8823529411764706,1.0,1.0,0.8823529411764706
68,8.0,0.6,9.0,0.0,0.0,2.0,0.8181818181818182,1.0,1.0,0.8181818181818182
69,8.0,0.7,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
70,8.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
71,8.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
72,9.0,0.1,401.0,0.0,0.0,4.0,0.9901234567901235,1.0,1.0,0.9901234567901235
73,9.0,0.2,384.0,0.0,0.0,1.0,0.9974025974025974,1.0,1.0,0.9974025974025974
74,9.0,0.3,361.0,0.0,0.0,5.0,0.9863387978142076,1.0,1.0,0.9863387978142076
75,9.0,0.4,331.0,0.0,0.0,8.0,0.976401179941003,1.0,1.0,0.976401179941003
76,9.0,0.5,291.0,0.0,0.0,11.0,0.9635761589403974,1.0,1.0,0.9635761589403974
77,9.0,0.6,235.0,0.0,0.0,10.0,0.9591836734693877,1.0,1.0,0.9591836734693877
78,9.0,0.7,176.0,0.0,0.0,7.0,0.9617486338797814,1.0,1.0,0.9617486338797814
79,9.0,0.8,95.0,0.0,0.0,4.0,0.9595959595959596,1.0,1.0,0.9595959595959596
80,9.0,0.9,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
81,10.0,0.1,187.0,0.0,0.0,3.0,0.9842105263157894,1.0,1.0,0.9842105263157894
82,10.0,0.2,150.0,0.0,0.0,40.0,0.7894736842105263,1.0,1.0,0.7894736842105263
83,10.0,0.3,124.0,0.0,0.0,66.0,0.6526315789473685,1.0,1.0,0.6526315789473685
84,10.0,0.4,106.0,0.0,0.0,80.0,0.5698924731182796,1.0,1.0,0.5698924731182796
85,10.0,0.5,90.0,0.0,0.0,83.0,0.5202312138728323,1.0,1.0,0.5202312138728323
86,10.0,0.6,76.0,0.0,0.0,61.0,0.5547445255474452,1.0,1.0,0.5547445255474452
87,10.0,0.7,57.0,0.0,0.0,14.0,0.8028169014084507,1.0,1.0,0.8028169014084507
88,10.0,0.8,31.0,0.0,0.0,2.0,0.9393939393939394,1.0,1.0,0.9393939393939394
89,10.0,0.9,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
90,11.0,0.1,50.0,0.0,0.0,871.0,0.05428881650380022,1.0,0.0,0.9457111834961998
91,11.0,0.2,14.0,0.0,0.0,703.0,0.019525801952580194,1.0,0.0,0.9804741980474198
92,11.0,0.3,7.0,0.0,0.0,512.0,0.01348747591522158,1.0,0.0,0.9865125240847784
93,11.0,0.4,3.0,0.0,0.0,385.0,0.007731958762886598,1.0,0.0,0.9922680412371134
94,11.0,0.5,1.0,0.0,0.0,241.0,0.004132231404958678,1.0,0.0,0.9958677685950413
95,11.0,0.6,0.0,0.0,0.0,126.0,0.0,1.0,0.0,1.0
96,11.0,0.7,0.0,0.0,0.0,52.0,0.0,1.0,0.0,1.0
97,11.0,0.8,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0
98,11.0,0.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
99,12.0,0.1,219.0,0.0,0.0,6.0,0.9733333333333334,1.0,1.0,0.9733333333333334
100,12.0,0.2,197.0,0.0,0.0,7.0,0.9656862745098039,1.0,1.0,0.9656862745098039
101,12.0,0.3,182.0,0.0,0.0,6.0,0.9680851063829787,1.0,1.0,0.9680851063829787
102,12.0,0.4,175.0,0.0,0.0,6.0,0.9668508287292817,1.0,1.0,0.9668508287292817
103,12.0,0.5,170.0,0.0,0.0,6.0,0.9659090909090909,1.0,1.0,0.9659090909090909
104,12.0,0.6,162.0,0.0,0.0,2.0,0.9878048780487805,1.0,1.0,0.9878048780487805
105,12.0,0.7,153.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
106,12.0,0.8,99.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
107,12.0,0.9,50.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
108,13.0,0.1,270.0,0.0,0.0,54.0,0.8333333333333334,1.0,1.0,0.8333333333333334
109,13.0,0.2,231.0,0.0,0.0,93.0,0.7129629629629629,1.0,1.0,0.7129629629629629
110,13.0,0.3,216.0,0.0,0.0,107.0,0.6687306501547987,1.0,1.0,0.6687306501547987
111,13.0,0.4,204.0,0.0,0.0,117.0,0.6355140186915887,1.0,1.0,0.6355140186915887
112,13.0,0.5,180.0,0.0,0.0,133.0,0.5750798722044729,1.0,1.0,0.5750798722044729
113,13.0,0.6,153.0,0.0,0.0,134.0,0.5331010452961672,1.0,1.0,0.5331010452961672
114,13.0,0.7,130.0,0.0,0.0,122.0,0.5158730158730159,1.0,1.0,0.5158730158730159
115,13.0,0.8,85.0,0.0,0.0,81.0,0.5120481927710844,1.0,1.0,0.5120481927710844
116,13.0,0.9,24.0,0.0,0.0,9.0,0.7272727272727273,1.0,1.0,0.7272727272727273
117,14.0,0.1,680.0,0.0,0.0,27.0,0.9618104667609618,1.0,1.0,0.9618104667609618
118,14.0,0.2,636.0,0.0,0.0,34.0,0.9492537313432836,1.0,1.0,0.9492537313432836
119,14.0,0.3,606.0,0.0,0.0,22.0,0.964968152866242,1.0,1.0,0.964968152866242
120,14.0,0.4,583.0,0.0,0.0,16.0,0.9732888146911519,1.0,1.0,0.9732888146911519
121,14.0,0.5,545.0,0.0,0.0,12.0,0.9784560143626571,1.0,1.0,0.9784560143626571
122,14.0,0.6,502.0,0.0,0.0,5.0,0.9901380670611439,1.0,1.0,0.9901380670611439
123,14.0,0.7,453.0,0.0,0.0,3.0,0.993421052631579,1.0,1.0,0.993421052631579
124,14.0,0.8,376.0,0.0,0.0,1.0,0.9973474801061007,1.0,1.0,0.9973474801061007
125,14.0,0.9,237.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
126,15.0,0.1,1078.0,0.0,0.0,1.0,0.9990732159406858,1.0,1.0,0.9990732159406858
127,15.0,0.2,1062.0,0.0,0.0,3.0,0.9971830985915493,1.0,1.0,0.9971830985915493
128,15.0,0.3,1038.0,0.0,0.0,3.0,0.9971181556195965,1.0,1.0,0.9971181556195965
129,15.0,0.4,1002.0,0.0,0.0,2.0,0.99800796812749,1.0,1.0,0.99800796812749
130,15.0,0.5,974.0,0.0,0.0,3.0,0.9969293756397134,1.0,1.0,0.9969293756397134
131,15.0,0.6,933.0,0.0,0.0,1.0,0.9989293361884368,1.0,1.0,0.9989293361884368
132,15.0,0.7,906.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
133,15.0,0.8,857.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
134,15.0,0.9,578.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
135,16.0,0.1,0.0,277.0,59.0,0.0,0.17559523809523808,0.0,1.0,0.8244047619047619
136,16.0,0.2,0.0,217.0,55.0,0.0,0.20220588235294118,0.0,1.0,0.7977941176470589
137,16.0,0.3,0.0,181.0,47.0,0.0,0.20614035087719298,0.0,1.0,0.793859649122807
138,16.0,0.4,0.0,151.0,38.0,0.0,0.20105820105820105,0.0,1.0,0.798941798941799
139,16.0,0.5,0.0,107.0,27.0,0.0,0.20149253731343283,0.0,1.0,0.7985074626865671
140,16.0,0.6,0.0,58.0,12.0,0.0,0.17142857142857143,0.0,1.0,0.8285714285714286
141,16.0,0.7,0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0
142,16.0,0.8,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0
143,16.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
144,17.0,0.1,1030.0,0.0,0.0,54.0,0.9501845018450185,1.0,1.0,0.9501845018450185
145,17.0,0.2,909.0,0.0,0.0,62.0,0.9361483007209063,1.0,1.0,0.9361483007209063
146,17.0,0.3,803.0,0.0,0.0,51.0,0.9402810304449649,1.0,1.0,0.9402810304449649
147,17.0,0.4,713.0,0.0,0.0,44.0,0.9418758256274768,1.0,1.0,0.9418758256274768
148,17.0,0.5,610.0,0.0,0.0,33.0,0.9486780715396579,1.0,1.0,0.9486780715396579
149,17.0,0.6,493.0,0.0,0.0,14.0,0.9723865877712031,1.0,1.0,0.9723865877712031
150,17.0,0.7,360.0,0.0,0.0,5.0,0.9863013698630136,1.0,1.0,0.9863013698630136
151,17.0,0.8,223.0,0.0,0.0,2.0,0.9911111111111112,1.0,1.0,0.9911111111111112
152,17.0,0.9,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
153,18.0,0.1,208.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
154,18.0,0.2,187.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
155,18.0,0.3,159.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
156,18.0,0.4,148.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
157,18.0,0.5,140.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
158,18.0,0.6,134.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
159,18.0,0.7,121.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
160,18.0,0.8,107.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
161,18.0,0.9,52.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
